Unnamed: 0,life_expectancy,male_life_expectancy,female_life_expectancy,healthcare_spending,GDP_per_capita,obesity_prevalence,carbon_emissions,schooling,physicians,sanitation_mortality_rate,urban_population,rural_population,sanitation_population_perct,unemployment_perct,mobile_cell_subs,GINI_index
141,45.7198894946875,44.5069500432548,46.9686227769228,,450.067013003358,9.91609217385411,,1.10952997207642,,,23.0539831517505,76.9460168482495,,,0.0,
142,46.2695350883761,44.9881738318788,47.592425134056,,477.188530059106,10.1980472240273,,1.25513994693756,,,23.6207751807237,76.3792248192763,,,0.0,
143,46.6737358706341,45.3865610916076,48.004057220945,,577.535479884458,10.5240015618699,,1.52988994121552,,,24.1003317105443,75.8996682894557,,,0.0,
144,47.0152387693495,45.7032905405797,48.3712271663961,,709.842397337791,10.8533047145693,,1.69225001335144,,,24.5850937830881,75.4149062169119,,,0.0,
145,47.2971899672045,46.0303889761617,48.6077330543605,,1299.89641106073,11.2423425068055,,1.97354996204376,,,25.1925777557965,74.8074222442035,,,0.0,
146,47.529378486773,46.2427930834438,48.8587808089279,,1120.58396022091,11.5795691593231,,2.11827993392944,,,25.7978068012752,74.2021931987248,,,0.0,
147,47.7852622311657,46.4984809446741,49.1170796202357,,805.023662801527,11.9655574933891,,2.21931004524231,,,26.4084325004092,73.5915674995909,,,0.0,
148,47.9319203796927,46.6451125997067,49.2613110015648,,649.018761512478,12.3090274897077,,2.28188991546631,,,27.0492909237904,72.9507090762096,,,0.0,
149,48.0216757263596,46.688084711637,49.3998562991476,,644.336990404963,12.7030056412739,,2.47234010696411,,,27.7311227586106,72.2688772413894,,,0.0,
150,48.0667637335486,46.7574998036851,49.4195454025086,,578.814350154625,13.1070252582336,,2.60153007507324,,,28.4049922543877,71.5950077456123,,,0.0,
151,48.2378522324172,46.8057234782274,49.7337994016859,,578.327730569237,13.5039646826637,,2.5639500617981,,,29.070640688576,70.929359311424,,,0.0,
152,48.5129131210586,47.1155356833791,49.9586585534944,,555.919881075057,13.9558685327729,,2.75163006782532,,,29.7254696549143,70.2745303450857,,,0.0,
153,48.6898474133953,47.2797334417521,50.1499457824008,,505.326338732086,14.385115490012,,2.87761998176575,,,30.3654556843314,69.6345443156686,,,0.0,
154,48.6500033905016,47.1520561249369,50.2290110863994,,589.158848993721,14.8414271814465,0.473668662031144,2.99450993537903,0.126751476237382,,30.9705411096988,69.0294588903012,,,0.0,
155,48.6624610142838,47.2175579820877,50.1627638666475,,553.591280313621,15.3009581284238,0.525418075603017,3.11533999443054,,,31.4103296117598,68.5896703882402,,4.22459508653187,0.0,
156,48.7372663398837,47.2765260622651,50.2555771384365,,542.663527078269,15.716681290414,0.563117533427227,3.27185988426209,,,31.8374912003679,68.1625087996321,,4.33546037117227,0.0004055676236363,
